RefSeq IDs	Approved symbol
	ALDRL2
	ALDRL5
	ALFN1
NM_019109	ALG1
NR_171194	ALG1L1P
NM_001136152	ALG1L2
	ALG1L3P
	ALG1L5P
	ALG1L6P
	ALG1L7P
	ALG1L8P
	ALG1L9P
	ALG1L10P
	ALG1L11P
	ALG1L12P
	ALG1L13P
	ALG1L14P
	ALG1L15P
NM_033087	ALG2
NM_005787	ALG3
NG_004807	ALG3P1
NM_013338	ALG5
NM_013339	ALG6
NM_024079	ALG8
NM_024740	ALG9
	ALG9-IT1
NM_032834	ALG10
NM_001013620	ALG10B
NM_001004127	ALG11
NM_024105	ALG12
NM_018466	ALG13
	ALG13-AS1
NM_144988	ALG14
	ALG14-AS1
NM_004304	ALK
NM_207413	ALKAL1
NM_001002919	ALKAL2
NM_006020	ALKBH1
NM_001001655	ALKBH2
NM_139178	ALKBH3
	ALKBH3-AS1
NM_017621	ALKBH4
NM_017758	ALKBH5
NM_032878	ALKBH6
NM_032306	ALKBH7
NM_138775	ALKBH8
	ALLC
NM_015120	ALMS1
NR_046762	ALMS1-IT1
NR_003683	ALMS1P1
	ALOX5
NM_001629	ALOX5AP
	ALOX12
	ALOX12-AS1
	ALOX12B
	ALOX12P1
	ALOX12P2
	ALOX15
	ALOX15B
NR_045985	ALOX15P1
	ALOX15P2
	ALOXE3
NG_026215	ALOXE3P1
NM_031313	ALPG
NM_001631	ALPI
NM_025144	ALPK1
NM_052947	ALPK2
	ALPK2-AS1
NM_020778	ALPK3
NM_000478	ALPL
NM_001632	ALPP
	ALPPL1
	ALPPP
	ALS1
NM_020919	ALS2
NM_147129	ALS2CL
	ALS2CR1
	ALS2CR6
	ALS2CR14
	ALS2CR16
	ALS2CR17
	ALS2CR18
	ALS3
	ALS5
	ALS6
	ALS7
	ALUNC
NM_006982	ALX1
NM_006492	ALX3
	ALX4
NM_005782	ALYREF
NM_014324	AMACR
	AMANZI
NM_016519	AMBN
NM_001633	AMBP
NM_017749	AMBRA1
	AMCD1
	AMCD2B
	AMCN
	AMD1
NG_022164	AMD1P1
NG_001073	AMD1P2
	AMD1P3
	AMD1P4
	AMD2
NM_152435	AMDHD1
NM_015944	AMDHD2
	AMDM
NM_001142	AMELX
NM_001143	AMELY
NM_152424	AMER1
NM_152704	AMER2
NM_152698	AMER3
	AMFR
NM_000479	AMH
NM_020547	AMHR2
NM_020703	AMIGO1
NM_181847	AMIGO2
NM_198722	AMIGO3
	AMLCR2
	AMMECR1
	AMMECR1-IT1
NM_031445	AMMECR1L
	AMMECR1LP1
	AMN
NM_001113402	AMN1
	AMN1-AS1
NM_133265	AMOT
NM_130847	AMOTL1
NM_016201	AMOTL2
	AMPD1
	AMPD2
	AMPD2-AS1
NM_000480	AMPD3
NM_001635	AMPH
	AMPHL
NM_000481	AMT
NM_212557	AMTN
NM_001008221	AMY1A
NM_001008218	AMY1B
NM_001008219	AMY1C
NM_000699	AMY2A
NM_020978	AMY2B
NG_004750	AMYP1
NM_133463	AMZ1
NM_016627	AMZ2
NR_026903	AMZ2P1
	AMZ2P2
NG_022586	AMZ2P3
	AN1
	AN2
NM_022662	ANAPC1
NR_037931	ANAPC1P1
	ANAPC1P2
	ANAPC1P3
	ANAPC1P4
	ANAPC1P5
	ANAPC1P6
NM_013366	ANAPC2
NM_013367	ANAPC4
	ANAPC4-AS1
	ANAPC5
NM_016238	ANAPC7
NM_014885	ANAPC10
NG_007660	ANAPC10P1
NM_016476	ANAPC11
NM_015391	ANAPC13
NG_008941	ANAPC13P1
NM_014042	ANAPC15
NG_030154	ANAPC15P1
	ANAPC15P2
NM_173473	ANAPC16
	ANCR
	ANE1
NM_001097577	ANG
NM_015305	ANGEL1
NM_144567	ANGEL2
NM_001146, NM_139290	ANGPT1
NM_001147	ANGPT2
	ANGPT3
NM_015985	ANGPT4
	ANGPT5
NM_004673	ANGPTL1
NM_012098	ANGPTL2
NM_014495	ANGPTL3
NM_139314	ANGPTL4
NM_178127	ANGPTL5
NM_031917	ANGPTL6
NM_021146	ANGPTL7
NM_018687	ANGPTL8
	ANHX
	ANIB1
	ANIB2
	ANIB3
	ANIB4
NM_020475	ANK1
NM_001148	ANK2
	ANK2-AS1
	ANK2-AS2
NM_020987	ANK3
	ANK3-DT
NM_144708	ANKAR
NM_182703	ANKDD1A
NM_001276713	ANKDD1B
NM_022096	ANKEF1
NM_153228	ANKFN1
NM_016376	ANKFY1
NM_054027	ANKH
	ANKH-AS1
	ANKH-DT
NM_017747	ANKHD1
	ANKHD1-DT
NM_020690	ANKHD1-EIF4EBP3
	ANKIB1
NM_178510	ANKK1
	ANKL1
NM_152363	ANKLE1
	ANKLE2
NM_017844	ANKMY1
NM_020319	ANKMY2
NM_023039	ANKRA2
NM_014391	ANKRD1
	ANKRD2
	ANKRD6
	ANKRD6-AS1
NM_001077708	ANKRD7
	ANKRD9
	ANKRD10
	ANKRD10-IT1
NM_013275	ANKRD11
NG_021508	ANKRD11P1
NG_026775	ANKRD11P2
NM_015208	ANKRD12
NM_033121	ANKRD13A
NM_152345	ANKRD13B
NM_030816	ANKRD13C
NR_027404	ANKRD13C-DT
NM_207354	ANKRD13D
	ANKRD14
NM_019046	ANKRD16
NM_032217	ANKRD17
	ANKRD17-AS1
	ANKRD17-DT
	ANKRD18A
NM_001244752	ANKRD18B
	ANKRD18CP
NR_003291	ANKRD18DP
	ANKRD18EP
	ANKRD18FP
NR_026868	ANKRD19P
	ANKRD20A1
	ANKRD20A2P
