miRNA	gene	support type	miR_disease_num	gene_disease_num	label	MISIM_value
hsa-miR-1	VEGFA	TargetScan;miRTarBase	257	1899	1	0.8266195708213873
hsa-miR-1	WNT4	miRTarBase	257	135	1	0.4777629934262546
hsa-miR-1	XPO6	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	257	12	1	0.0014544367116137
hsa-miR-1	YWHAZ	TargetScan;miRDB;miRTarBase	257	247	1	0.7854915996176862
hsa-miR-100	AKT1	miRTarBase	96	1250	1	0.6430010242079718
hsa-miR-100	ATM	miRTarBase;miRWalk	96	684	1	0.7139699470921357
hsa-miR-100	BMPR2	TargetScan;miRDB;miRTarBase	96	146	1	0.6513086330809089
hsa-miR-100	CTDSPL	TargetScan;miRDB;miRTarBase	96	35	1	0.2148228449091295
hsa-miR-100	FGFR3	TargetScan;miRDB;miRTarBase;miRWalk	96	654	1	0.6166360989874062
hsa-miR-100	FKBP5	TarBase;TargetScan;miRTarBase;miRWalk	96	179	1	0.6950658174980885
hsa-miR-100	FLT1	miRTarBase;miRWalk	96	424	1	0.723985518417508
hsa-miR-100	FOXA1	miRTarBase	96	138	1	0.6410700588730406
